schema_name,table_name,field_name,field_type
tmp_data_dm,rps_201907_non_misc_kam_mt,delivered_impressions,bigint
tmp_data_dm,lead_score_v2_daily_pt13,answer_score_90,tinyint
tmp_data_dm,np_201812_message9xnew_v2,conversation_id,string
tmp_data_dm,coe_test_demo2,month_begin_date,string
rev,mi_market_county_psp_20170925,county_state_psp,string
dm,hist_extgt_user_question_detail,create_datetime,string
tmp_data_dm,bankruptcy_prospect_attributes,bankruptcy_segment,string
tmp_data_dm,coe_check1,subscription_id,int
rev,bing_report_20160121,destinationurl,string
src,hist_marchex_call_log_20161028,business_name,string
rev,hist_ad_weights_modified_20190214,sold_ad_market_type,string
tmp_data_dm,yan_exclusive_pv_cat,marketid,int
rev,hist_market_intelligence_detail_20180206,etl_load_date,string
rev,impressions_forecast_20160712,product_line_item_name,string
dm,kpi_metrics_daily,ad_impressions,int
dm,temp_hist_extgt_user_question_detail,create_datetime,string
rev,temp_mrr_customer_monthly_category_silver_08,is_active_eom_prior,string
tmp_data_dm,avvo_rating_query,avvo_rating,double
rev,traffic_dataset_hist_final,lawyer_user_id,boolean
dm,order_ln_accum_fact,order_ln_block_cnt,int
rev,professional_personinfo_contacts_leads_sf_20170830,zip_postal_code_2__c,string
default,customers,id,int
tmp_data_dm,ray_price_change_master_2,round_1_cup_control,int
rev,mrr_customer_all_products_20180827,customer_billed_prior_month,string
src,tracking_phone_numbers,id,int
rev,mrr_customer_daily_all_products_201810,mrr_total,"decimal(20,2)"
dm,mh_preferred_placements_smb_tmp_jene_report,id,string
aa,rd_content_group_pageviews_stag,channel_category,string
rev,path2_full_dataset,date_last_question_answered__c,string
rev,sem_google_search_ads_hist_final,conversion_type,string
rev,hist_services_session_detail,attorney_initiated_refund_count,bigint
src,barrister_specialty,description,string
rev,chase_external_feed_07102017,record_number,string
rev,product_line_dimension_bkp_022019,product_line_class_name,string
rev,impressions_forecast_20170321_bkp,customer_id,int
rev,hist_adwords_keyword_performance_20160824,searchpredictedctr,string
src,temp_adwords_report_v2,sem_network,string
rev,professional_specialty_contacts_leads_sf_staging,professional_delete_indicator,string
tmp_data_dm,coe_t_history_all_recalced,sl_ad_impressions,bigint
rev,mrr_all_products_0904,mrr_prior_adplacement,"decimal(20,2)"
tmp_data_dm,kb_deferred_revenue_output_201802_part2,ad_market_id,int
rev,hist_sf_task_reload_test,activity_date,string
rev,billing_report_purchase_20160302,purchase_credit_indicator,string
rev,mrr_customer_category_all_products,revenue_current_misc,"decimal(20,2)"
tmp_data_dm,lead_score_contact_calls,professional_id,int
tmp_data_dm,sold_blocks_april,sold_count,bigint
aa,advertiser_list_201712,total_order_line_net_price_amount_usd,"decimal(38,2)"
src,barrister_professional_merge,master_professional_id,int
src,hist_sf_task,status,string
tmp_data_dm,lead_score_v2_14day_pt1_klu,professional_id,int
tmp_data_dm,lead_score_v2_10day_pt12,estate_planning,bigint
tmp_data_dm,rays3_contactsweb1b_djf,gmt_timestamp,bigint
src,hist_ocato_provider_fees,voided,int
tmp_data_dm,as_dr_test2,market_type,string
dm,census_data,number_sex_and_age_male_population_30_to_34_years,int
src,hist_ocato_bank_accounts,created_at,string
tmp_data_dm,katherine_deferred_revenue_dataset_201707a,valid_professional_id,string
rev,temp_mrr_customer_monthly_category_silver_08,mrr_churned,"decimal(20,2)"
rev,sf_contact_migration_20191108,other_suppression_reason,string
rev,robert_after,prof_id6,int
aa,mkt_t_marketing_heartbeat_details,sessions_qtd_one_year_prior,bigint
aa,coe_chan_tcedw,lpv_referring_domain,string
dm,ad_attribution_historical,lpv_referring_domain,string
rev,weblog_nov,recipient,string
tmp_data_dm,rays2_contactsweb2_dec,persistent_session_id,string
tmp_data_dm,sold_blocks_sept,year_month,int
rev,order_line_purchase_fact_20160816,payment_date,string
rev,geography_dimension_sq,geo_id,int
tmp_data_dm,messages_contacts_dn,ad_type,string
src,facebook_campaign_insights_daily,post_engagement,int
tmp_data_dm,yw_aqs_lpv,render_type,string
tmp_data_dm,messages_contacts_dd,sales_region_id,int
tmp_data_dm,website_contacts_july,contact_type,string
rev,hist_barrister_professional_review_missingupdates,overall_rating,int
tmp_data_dm,coe_att_test_assemble,prof_market_total_impression_count,bigint
dm,temp_adwords_keyword_performance,internal_clicks,string
src,hist_ocato_call_records,to_country,string
tmp_data_dm,reduced_market_price_kam,sfup,"decimal(38,2)"
rev,mrr_customer_category_all_products_20180828,mrr_current_website,"decimal(20,2)"
tmp_data_dm,rps_misc_kam,impression_count,bigint
tmp_data_dm,katherine_services_session_detail_as_of_20171130,purchase_discount_amount,double
tmp_data_dm,coe_deferred_revenue_dataset_2017_02,over_under,bigint
rev,mrr_customer_all_products_20180827,revenue_prior_website,"decimal(20,2)"
tmp_data_dm,churn_customer_market_month,first_order_month,int
tmp_data_dm,hist_ad_performance_dash,lawyer_name,string
tmp_data_dm,nick_test_1,two_weeks_ago_begin_date,string
rev,adwords_keyword_performance_20161012,internal_clicks_value,string
tmp_data_dm,sr_traffic_contacts_datasource_hist_2016,device_category_name,string
rev,market_intelligence_detail,ad_monetization,double
src,weblog_all,domain,string
dm,temp_billing_report_purchase,vaulted_creditcard_id,int
rev,raw_ad_events_20190618_bkp,hit_number,int
pl,services_event_detail,check_purchase_not_found,string
src,scooter_ad_weight_service,key,string
aa,ad_events_report_10w,event_date,string
src,nrt_fee,description,string
dm,hist_ad_weights_modified,deliveredbackfillimpressions,int
rev,weblog_blocked_amp,forwarded_ips,string
rev,amp_weblog_data,email_address,string
rev,hist_elocal_call_log_20161229,callerid,string
rev,cost_per_lead_20191016,service_end_date,string
src,hist_barrister_professional_status,displayable,string
tmp_data_dm,yw_oneweek_da,ad_impression_guid,string
tmp_data_dm,ndm_timothy_v2,market_type,string
tmp_data_dm,rays2_contactsweb10_da,specialty_id,int
tmp_data_dm,kb_deferred_revenue_output_201804_complete,trailing_3mo_target_impressions,int
rev,mh_total_search_data_20200121,city_name,string
rev,temp_profnl_delivered_impressions_daily_20170321,content,string
dm,claimed_professional_path1_sf_current,county_2__c,string
tmp_data_dm,coe_ad_perf,website_attrib_cnt,double
rev,temp_mrr_customer_monthly_category_silver,mrr_prior_advertisement,"decimal(20,2)"
src,barrister_specialty,updated_by,int
rev,mrr_customer_daily_all_products_201820,payment_failure_flag,string
rev,raw_market_impressions,ar_region_name,string
aa,mkt_t_marketing_heartbeat_scheduled,acv_per_page_view_ytd_one_year_prior,double
rev,cost_per_lead_20200203,product_family,string
tmp_data_dm,coe_north_star_timeframes,period_num,int
src,hist_sf_tasks_backup,subject,string
dm,temp_mrr_customer_monthly_category,mrr_current_avvopro,"decimal(20,2)"
dm,temp_extgt_user_account_profile,debt_reduction_opt_out_link,string
tmp_data_dm,katherine_contract_analysis_order_chain_start_month_on_20171115,yearmonth,int
rev,mrr_customer_monthly,chain_number,bigint
aa,mkt_t_marketing_heartbeat_scheduled,sessions_mtd_one_year_prior,bigint
tmp_data_dm,current_sf_testing_v2,fine_print_id__c,int
tmp_data_dm,lead_score_v2_10day_pt4,activitydate,string
rev,mrr_customer_all_products_silver,revenue_prior_total,"decimal(20,2)"
rev,cost_per_lead_20200203,etl_load_date,string
rev,hist_sold_ad_weights_simplified,sold_count,bigint
rev,hist_sf_task_20180228,play_content_delivered,string
rev,order_line_accumulation_fact,order_line_begin_date,string
default,mrr_customer_monthly_silver,has_cc_failure_during_month,string
src,census_data,estimate_employment_status_population_16_years_and_over_total,int
tmp_data_dm,coe_subscription_price_helper_raw,price_sequence_in_group,bigint
src,hist_ocato_call_records,created_at,string
rev,mrr_customer_monthly_08,max_bill_date_in_month,string
tmp_data_dm,coe_tot_activity_with_users,repo_url,string
dm,lawyer_cube_data_by_day_backup,delivered_emails,int
src,pws_city,audit_date,string
rev,order_line_accumulation_fact_sku,order_line_begin_date,string
rev,order_line_purchase_fact_20200407_1,purchase_date,string
rev,amp_weblog_data,preview_ad_id,int
rev,hist_mrr_subscription_20160303,mrr,"decimal(20,2)"
tmp_data_dm,katherine_delivered_impressions_for_t6m_201706_on_20170725,ad_type,string
dm,hist_order_line_billings_purchase_fact,order_number,int
rev,hist_sf_task_20180228,x18_digit_activity_id,string
rev,billing_report_purchase_20190221,order_line_number,int
tmp_data_dm,deferred_revenue_vbots_201811_201903,lawyer,string
rev,kpi_metrics_weekly_bkp,webclicks_prior_week,int
tmp_data_dm,traffic_session_non_misc_201907_kam,sold_impressions,bigint
dm,hist_services_event_fact,package_category_id,int
rev,month_dim_bkp,two_months_ago_begin_date,string
rev,temp_mrr_customer_monthly_category_silver,has_ads_during_month_prior,string
tmp_data_dm,call_att_sid_updates1_j_sample_nik,numofdays,int
rev,ad_events_metric_20190625,session_id,string
tmp_data_dm,kb_deferred_revenue_output_201709b,cancelled_in_latest_month,string
rev,historical_professional_dimension_20200307,professional_middle_name,string
tmp_data_dm,general_phone_attribution_11,date_value,string
tmp_data_dm,coe_my_month_dim,month_mid_ish_date,timestamp
tmp_data_dm,contacts_do,contact_type,string
tmp_data_dm,sr_revenue_test_2_20170220,lpv_page_group,string
tmp_data_dm,rays2_allrig_2_nov,contact_type,string
dm,hist_extgt_question_answer_pageview_detail,best_answer,int
dm,census_hist_lawyer_office_by_revenue,establishment_under_100k_cnt,int
tmp_data_dm,phone_contacts_dec18_mar20,sales_region_id,int
rev,weblog_dec10,remote_ip,string
src,weblog_stage,website,string
tmp_data_dm,hive_lead_score_spclty,animal_law,bigint
rev,order_line_purchase_fact_20200406,yearmonth,int
tmp_data_dm,contacts_query,calls,bigint
tmp_data_dm,rs_201812_message2,location_id,int
rev,adwords_keyword_performance_20151110,external_cost,string
src,hist_barrister_professional,ngage_website_id,string
src,weblog_parsed,abs_enabled,string
rev,adwords_keyword_performance_202001,max_cpc,string
src,nrt_true_scheduler_inventory,created_at,string
tmp_data_dm,general_phone_attribution_0709_apr18_may18,speciality_id,int
dm,amm_ad_performance_dashboard,attributed_web_click_count,string
rev,historical_professional_dimension_backfill,professional_prefix,string
tmp_data_dm,traffic_internal_full,da_revenue,double
rev,professional_personinfo_contacts_leads_sf_07,also_known_as__c,string
src,hist_barrister_provisioned_phone,id,int
rev,hist_elocal_call_log_20161229,caller_state,string
rev,hist_mrr_customer_classification_20160303,mrr_current_month,"decimal(20,2)"
rev,chase_external_feed_07102017,account_number,string
tmp_data_dm,sem_report_market_level,sem_conversion_rate,double
src,barrister_professional_address,name,string
tmp_data_dm,ad_events_metric_test,page_view_render_instance_guid,string
rev,hist_services_session_detail,check_purchase_count,string
rev,facebook_campaign_data,ad_block_flag,string
src,barrister_professional_school_version,id,int
rev,mi_ad_market_detail_20170921,sl_sell_through,double
tmp_data_dm,uat_sf_testing,type_of_advertiser__c,string
dm,profnl_invntry_curr_snapshot_fact,pkg_price_amt_usd,int
src,hist_scooter_market,inserted_at,string
tmp_data_dm,sold_blocks_djfmamj_as,description,string
src,chase_external_feed_bkp,pid_number,int
src,country_inventory,aop_name,string
src,barrister_scoring_category_attribute,scoring_category_id,int
aa,rd_ad_events_over_time,device_type,string
tmp_data_dm,katherine_deferred_revenue_cpc_test_dataset_201712,trailing_3mo_target_impressions,bigint
rev,adwords_report,sem_device,string
src,internal_attribution_value_v2,ad_state,string
aa,ad_events_report_10w,pageviews,bigint
rev,mi_ad_market_detail_20160713,sl_price,double
dm,hist_mrr_customer_all_products,mrr_prior_ignite,"decimal(20,2)"
dm,mrr_market_classification,mrr_prior_month,"decimal(20,2)"
aa,fin_churn_report,time_period,string
dm,billing_report,promo_start_date,string
src,kafka_quote_saved,customer_id,int
tmp_data_dm,yan_tm_5mon_pct,pg_del7,double
tmp_data_dm,messages_contacts_july_v5,contacts,bigint
src,mh_product_inventory,county_id,int
rev,raw_weblog_file_without_backfill,from_email,string
src,hist_nrt_sales_order,next_bill_date,string
rev,reload_hist_sf_task,callback_date_time,string
tmp_data_dm,rays2_contactsweb5_djf,rownum,bigint
tmp_data_dm,blockrelease_advertiserlist,os_months,bigint
dm,temp_lead_score_sellthrough,blocks_released,bigint
rev,hist_market_intelligence_detail,market_size,string
rev,market_intelligence_detail_20170925,da_unsold_value,double
rev,redefine_sf_task_filtered,dialer_type,string
aa,rd_questions_asked_full_join_temp,questions_submitted,bigint
tmp_data_dm,criminal_defense_prospect_attributes,professional_id,int
rev,sf_user_migration_20191108,user_manager_sf_id,string
tmp_data_dm,yw_am_test,sl_contacts,double
pl,ad_weights_metric,dibt_old_topic_page_videos,bigint
tmp_data_dm,messages_contacts_june_v5,contact_type,string
tmp_data_dm,as_getstat_hist,rank_date,string
dm,tomahawk2,sl_imps_other_month_3,int
rev,hist_sf_task_reload_test,call_lead_status,string
tmp_data_dm,lib_tmp_session_details,county,string
src,content_page,page_publish_datetime,string
src,tomahawk_sem_potential_acv,pot_sl_sem_imps,bigint
rev,mrr_customer_monthly_fix,billings_prior_website,"decimal(20,2)"
src,account_user_authentication_type,real_expires_at,string
src,kafka_subscriptions_restructured,event_name,string
tmp_data_dm,consumer_protection_prospect_attributes,consumer_protection_segment,string
dm,temp_stg_profnl_target_impressions,begin_date,string
rev,sf_account_migration_20191108,estimated_misc_payment_adjustment,"decimal(18,0)"
tmp_data_dm,as_marketpageviews,profile_pvs,bigint
src,hist_ocato_provider_offers,offer_id,bigint
tmp_data_dm,rd_proxies_by_user_temp,device_type,string
rev,chase_external_feed_bkp_280619,digital_token_method,string
tmp_data_dm,jan_spam_messages2,event_date,string
tmp_data_dm,delivered_sold_impressions_prof_level_agg_do_v4,specialty_id,int
rev,advice_session_fact_20160414,source,string
rev,historical_professional_dimension_201710,professional_avvo_rating,string
rev,billing_report_purchase20190221,promo_state,string
tmp_data_dm,call_att_sid_updates3_j_dec18,sales_region_id_update,int
dm,market_metrics_sl_block_monthly,contacts_to_advertisers_per_total_contacts,double
tmp_data_dm,rd_service_transaction_full_join_temp,channel,string
rev,mrr_customer_monthly_201811_20181206,mrr_current_adplacement,"decimal(20,2)"
tmp_data_dm,website_contacts_djfmamjj,session_id,string
tmp_data_dm,customer_month_v2_metrics1,mrr_2,"decimal(10,2)"
rev,adwords_keyword_performance_20190520,device,string
rev,mi_ad_market_detail_20180206,da_inventory,int
src,ocato_unsuccessful_session_reasons,etl_load_date,string
tmp_data_dm,lead_score_v2_14day_pt2,review_score_80,tinyint
tmp_data_dm,lead_score_v2_30day_pt3a,contact_made_calls_14d,bigint
src,hist_sf_contact,etl_load_date,string
tmp_data_dm,kb_deferred_revenue_output_201801_part1,trailing_3mo_over_under,bigint
rev,adwords_keyword_performance_pbx_20190523,internal_ad_contact_value,string
aa,advertiser_list_201712,blocks_avail_adv,double
src,lead_statuses,name,string
tmp_data_dm,kb_deferred_revenue_output_201803_part1,latest_month_with_data,int
rev,temp_mrr_customer_monthly_category_silver,mrr_retained_subset_flat_customers,"decimal(20,2)"
rev,delivered_ad_weights_simplified_201805,deliveredbackfillimpressions,bigint
rev,raw_market_impressions,ar_render_instance_guid,string
dm,ad_attribution_historical,ad_contact_value,double
tmp_data_dm,delivered_impressions_nopro_djfmam,year_month,int
pl,date_dimension,year_for_week_number,int
rev,adwords_keyword_performance_pbx_20170302,internal_clicks_value,string
rev,mrr_customer_monthly_rerun,mrr_customer_exception,string
rev,contact_event_metrics_daily_bkp,professional_avvo_rating,string
tmp_data_dm,coe_t_baseline,total_ad_clicks,bigint
src,webanalytics_attribution_snapshot_new,customer_id,int
rev,hist_mi_ad_market_detail_20170921,da_monetization,double
tmp_data_dm,phone_contacts_dec18_apr20,year_month,int
rev,professional_personinfo_contacts_leads_sf_07,zip_postal_code_3__c,string
src,nrt_vaulted_creditcard,record_flag,string
dm,amm_v2_2_daily_prediction,cumsum_last_month_sem_adblock_acv,float
src,data_quality_log,hive_table,string
src,ad_impression,position,int
dm,hist_extgt_user_account_profile,immigration_opt_out_link,string
tmp_data_dm,sr_review_sparkler_contacts,website_visitors_by_day,bigint
tmp_data_dm,katherine_services_session_detail_as_of_20171130,chk_attorney_deposit,string
rev,mrr_backfill_v1,billing_prior_website,"decimal(20,2)"
rev,temp_mrr_customer_monthly_category_silver_201808,mrr_prior_other_sub,"decimal(20,2)"
tmp_data_dm,yan_pacv_accuracy,sl_acv,double
rev,contact_event_detail_metrics_bkp,professional_avvo_rating,string
tmp_data_dm,sold_blocks_till_dec19_as,ad_id,int
tmp_data_dm,coe_ad_perf,lawyer,string
src,saved_content_lawyer_unsaved,user_id,int
rev,geography_dimension_sq,geo_state_id,int
tmp_data_dm,jw_test,non_serp_headshot_count,bigint
rev,raw_weblog_file_with_backfill,call_start_time,string
rev,mrr_customer_monthly_absd_499_old,has_payment_during_month_prior,string
tmp_data_dm,blockrelease_consecutivemonths,inbox_full_name,string
tmp_data_dm,contacts_djfmamj,year_month,bigint
dm,ad_weights_metric,sold_impressions,bigint
dm,date_dim_bkp,year,int
rev,hist_sf_task_202003,professional_id,string
rev,kenshoo_hist_20180907,yearmonth,int
tmp_data_dm,np2_contactsmes4_djf,gmt_timestamp,bigint
src,hist_barrister_professional_specialty,id,int
rev,mrr_customer_all_products_silver,revenue_prior_ignite,"decimal(20,2)"
tmp_data_dm,rays2_contactsweb1b_dec,ad_impression_guid,string
tmp_data_dm,customer_month_v2_metrics,total_promo_subscription_3,int
pl,ad_events_metric,professional_id,int
dm,hist_mi_market_county_psp,top_da_value_per_claim_lawyer,double
tmp_data_dm,sold_ad_weights_simplified_febhist_nm,ad_inventory_type,string
tmp_data_dm,rays2_contactsweb10_sept,specialty_id,int
aa,sem_aco_tmp_sov_imp_by_mkt,attr_profile_visits,bigint
src,professional_skills_hist,topic_id,int
src,accounts,timezone_name,string
tmp_data_dm,top_10_qa,professional_id,int
tmp_data_dm,activity_conversion3,real_estate_segment,string
rev,mrr_customer_all_products_bakup,revenue_current_misc,"decimal(20,2)"
src,kafka_subscription_saved,updated_at,string
rev,path3_full_dataset,subscription_advertising__c,string
rev,mrr_customer_temp_dups,customer_exists_prior_month,string
rev,sem_indeed_acv_cost_20150529,sem_keyword,string
tmp_data_dm,rps_201907_non_misc_cap_block_jay_all,impression_count_hi,bigint
tmp_data_dm,coe_t_attributed_value,dayofweek,int
dm,hist_mi_ad_market_detail,sl_monetization,double
aa,mkt_t_marketing_heartbeat,page_views_ytd_one_year_prior,bigint
rev,temp_mrr_customer_monthly_category_20180829_06,billings_prior_website,"decimal(20,2)"
src,hist_elocal_call_log,business_name,string
tmp_data_dm,katherine_subs_by_month_beginning_201409_on_20171121,market_id,int
src,sem_report_temp_0819,ad_group,string
tmp_data_dm,messages_contacts_july_v5,professional_id,int
tmp_data_dm,sathya_contacts1,calls_120s,bigint
dm,professional_specialty_contacts_leads_sf,company,string
tmp_data_dm,lead_score_v2_14day_pt2,yrs_practicing,double
src,temp_adwords_report_v2,ad_impression,string
tmp_data_dm,yw_imp_201701_201705,brand_imps,bigint
src,nrt_vaulted_creditcard,default_card,int
tmp_data_dm,yan_tm_amm_summary_all_20180401,block_price,double
tmp_data_dm,general_phone_attribution_0709_aug18_oct18,speciality_id,int
tmp_data_dm,yw_imp_201802_201803,adblock_imps,bigint
tmp_data_dm,rps_201907_3,ad_market_id,int
rev,adwords_keyword_performance_network_after,destination_url,string
tmp_data_dm,promo_adv_final_2,remnant_flag,string
tmp_data_dm,katherine_deferred_revenue_cpc_dataset_201803,trailing_3mo_shortfall,bigint
rev,professional_claim_date_contacts_leads_sf_staging,professional_id,int
dm,mrr_subscription_classification,revenue_prior_month,"decimal(20,2)"
aa,mkt_t_marketing_heartbeat,county,string
rev,hist_nrt_payment,payment_type,string
src,ocato_credit_card_transactions,gateway_transaction_type,string
rev,hist_pws_aggregate_site_aop_geo_20200203,area_of_practice_id,int
rev,raw_ad_events_20180508,page_view_location_id,int
tmp_data_dm,yan_tm_5mon_rel_pct,imp_7,double
rev,adwords_keyword_performance_20161013,campaign_id,string
src,ocato_review_questions,label,string
dm,temp_profnl_delivered_impressions_daily,professional_last_name,string
rev,bing_report_20160303,clicks,string
tmp_data_dm,lead_score_prospect_pop,avvo_rating_score,bigint
src,webanalytics_display_ad_impression_forecast_snapshot_new,render_type_key,int
rev,mrr_customer_monthly_bkp,active_months_to_date,bigint
rev,order_line_billings_purchase_fact_sku,remnant_flag,string
dm,hist_sem_final_bid,googleid,int
tmp_data_dm,yw_aqs_ctr_201708_t,render_type,string
tmp_data_dm,website_contacts_may,attorney_product_category,string
rev,adwords_keyword_performance_20160817,quality_score,string
rev,chase_external_feed,rdfi_number,int
src,damalo_test,abs_enabled,string
tmp_data_dm,coe_my_month_dim,month_label,string
tmp_data_dm,rays_contactsdata_dec18v3,persistent_session_id,string
rev,mrr_customer_all_products_bakup,revenue_prior_avvopro,"decimal(20,2)"
rev,professional_personinfo_path1_sf_delta_07,practice_indicator__c,string
tmp_data_dm,lead_score_v2_daily_pt10,activitydate,string
dm,lawyer_cube_data_by_day_backup,claim_date,string
rev,hist_elocal_call_log_20161229,billable,string
rev,sem_report_temp_debug,ad_click_value,string
rev,raw_ad_events_20190618_bkp,request_timestamp,timestamp
src,incoming_phone_calls,call_record_id,int
rev,product_line_dimension_20190129,product_line_name,string
src,hist_content_topic_node,description_short,string
aa,fin_churn_by_calendar_raw,calendar_should_end_date,string
dm,lawyer_cube_data_by_day_bkup,is_active,string
src,sem_report_pbx_temp,device,string
rev,historical_professional_dimension_201710,professional_city_name_3,string
rev,mrr_customer_category_all_products_prior_fix,revenue_current_advertisement,"decimal(20,2)"
tmp_data_dm,rays2_allrig_djf,session_id,string
tmp_data_dm,coe_sub_price_test_cases,unit_price,int
dm,subscription_price_dimension,start_datetime,string
src,ocato_review_questions,id,int
dm,temp_order_line_purchase_fact_blockcount,etl_load_date,string
rev,hist_market_intelligence_detail_20160713,year_month,int
tmp_data_dm,katherine_render_instance_guid_for_t12m_201712_on_20180122,session_id,string
rev,sem_report_pbx_temp_debug,avg_cpc,string
src,hist_ocato_packages,etl_load_date,string
rev,adwords_keyword_performance_tmp2,max_cpc,string
src,account_user_authentication_type,created_at,string
tmp_data_dm,kb_deferred_revenue_output_201804_part2,liability_amount,"decimal(19,13)"
src,hist_ocato_call_records,to_phone_number,string
rev,internal_attribution_value_final,session_id,string
src,hist_scooter_final_bids,updated_at,string
rev,mrr_customer_category_all_products_0708,mrr_current_total,"decimal(20,2)"
tmp_data_dm,market_intelligence_deliv_kam,ad_market_id,int
tmp_data_dm,kb_deferred_revenue_cpc_output_201802,year_month_num,int
rev,hist_market_intelligence_detail,sl_revenue_opportunity,double
rev,internal_attribution_value_bing,lpv_mobile,string
dm,profnl_target_impressions,etl_load_date,string
tmp_data_dm,as_twilio_timestamped_calls_dec18,sid,string
src,barrister_professional_billing,free_consultation,int
tmp_data_dm,as_bot_implication,blocks_purchased_count,int
tmp_data_dm,sold_blocks_till_mar2020_as,ad_target_id,int
rev,hist_market_intelligence_detail_tmp,sl_inventory,int
rev,adwords_keyword_performance_pbx_20170217,internal_clicks,string
tmp_data_dm,rank_by_state,state,string
tmp_data_dm,phone_contacts_dn_v1,contacts,double
tmp_data_dm,messages_contacts_dmay_2020_v2,event_date,string
dm,market_intelligence_detail,da_price,double
rev,professional_dimension_20191106,professional_address_2_line_1,string
rev,weblog_nov18,application_type,string
rev,mrr_customer_daily_all_products_silver,refund_current_month_flag,string
dm,sf_onetime_leads_report,client_reviews_calendar_month__c,string
rev,order_line_refund_fact_sku,refund_amount,"decimal(19,2)"
rev,waitinglist_report_20160212,list_price,string
